"news_date","news_title","news_text_sm","url_in","news_writer","tags_string","thumb_addr","news_site"
"2022.09.05 14:22","네이버 증권, 미국 뉴욕 타임스퀘어에 광고 캠페인 진행",네이버 증권이 지난 31일(현지시간) 미국 뉴욕 타임스퀘어 광장의 나스닥 타워 전광판에 ‘국내 No.1 증권플랫폼’ 메시지를 담은 광고 캠페인을 진행했다고 5일 밝혔다.지난 5월 나스닥과 계약을 맺고 미국증시의 주요 지수와 개별 종목의 실시간 시세를 모든 사용자에게 무료로 제공하게 된 것을 기념해 나스닥과 함께한 이벤트다. 문구는 ▼모두를 위한 금융 인텔리전스 플랫폼 ▼1200만명이 선택한 대한민국 No.1 증권 플랫폼 ▼글로벌 6개국 주식 서비스 등이다.네이버 증권은 5월부터 실시간 미국 증시 시세 조,https://www.epnc.co.kr/news/articleView.html?idxno=227450,이세정 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227450_228437_412_v150.jpg,TechWorld
"2022.09.05 14:22","한글과컴퓨터-삼성SDS, AI 기반 기술 파트너십 체결",한글과컴퓨터가 AI 기술 기반의 API·SDK 사업 확장을 위해 삼성SDS와 업무협약을 체결했다고 5일 밝혔다.한컴은 삼성SDS의 자동화 분야 기술파트너로서 역할을 하며 한컴오피스·한컴싸인·광학문자인식(Optical character recognition OCR)·자연어처리(natural language processing NLP)·KDAN의 PDF Document AI 등의 보유 기술들을 응용 프로그램 인터페이스( Application Programming Interface API)와 소프트웨어,https://www.epnc.co.kr/news/articleView.html?idxno=227444,이세정 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227444_228432_3855_v150.jpg,TechWorld
"2022.09.05 09:54",레노버 지속가능 비전 위한 ESG 연례 보고서 발표,레노버가 16번째 연례 ESG 보고서(회계연도 2021/2022)를 발간해 자사 ESG 활동 진행 상황 및 성과를 5일 발표했다.레노버는 이번 연례 ESG 보고서를 통해 폐쇄 루프(Closed-loop) 프로세스를 통한 순환 경제 참여 증대 온실가스 배출량 감축 단기 목표 달성 직장 포용성 관련 수상 실적 및 전 세계 지역사회에 대한 기록적인 규모의 자선 투자 활동 등을 공개했다.레노버는 마그네슘 알루미늄 해양 플라스틱 등 새로운 종류의 재활용 소재를 제품에 사용 순환 경제 참여를 확대했다. 전,https://www.epnc.co.kr/news/articleView.html?idxno=227448,노태민 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227448_228436_5439_v150.jpg,TechWorld
"2022.09.05 08:53","메타버스 시장 확대, 확장현실 관심 UP…빅테크 앞다퉈 XR 발표",메타버스 시장이 확대되며 XR(확장 현실) 기기에 대한 관심도 높아지고 있다. 기존의 사용환경보다 현실감을 높여 몰입도를 제공할 수 있기 때문이다. 시장의 관심이 높아지며 글로벌 빅테크의 참여도 활발하다.일각에서는 메타버스 정의가 모호하고 콘텐츠 한계를 지적하며 거품이 걷힌다고 전망하고 있지만 글로벌 빅테크의 긍정적인 움직임은 뚜렷하다.애플은 MR 헤드셋으로 추정되는 제품에 대한 상표 출원 신청을 했다. 메타는 6월 VR기기 시제품을 대거 공개하기도 했다. XR기기의 연이은 출시‧발표는 메타버스 시장 주,https://www.epnc.co.kr/news/articleView.html?idxno=227356,이세정 기자,,https://cdn.epnc.co.kr/news/thumbnail/202208/227356_228332_4458_v150.jpg,TechWorld
"2022.09.02 14:09","에이아이노미스, 벤처기업 인증",에이아이노미스는 벤처투자유형 벤처기업확인서를 획득했다고 2일 밝혔다.중소벤처기업부가 주관하는 벤처기업확인제도의 유형은 혁신성장유형 벤처투자유형 연구개발유형 예비창업유형 등 총 4가지 유형이 있다. 그중 벤처투자유형은 기술의 혁신성과 사업의 성장성이 우수한 기업을 발굴하고 지원해 주는 제도다. 벤처투자유형의 기준 요건은 적격투자기관으로부터 유치한 투자금액 합계가 5000만 원 이상과 자본금 중 투자금액의 합계가 차지하는 비율이 10% 이상이 돼야 한다.에이아이노미스가 개발 중인 ‘노코딩AI’는 데이터,https://www.epnc.co.kr/news/articleView.html?idxno=227425,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227425_228413_2345_v150.jpg,TechWorld
"2022.09.02 14:09","알체라, 400억 원 규모 유상증자 결정",알체라가 공격적인 사업 확대를 위해 지난달 31일 이사회를 소집해 약 400억 원 규모의 주주배정 유상증자를 결정했다고 2일 밝혔다. 유상증자를 통해 확보한 재원은 SaaS 형태의 신규 AI 사업 확장 미국 자회사 Alchera X를 통한 해외 시장 확대 핀테크 사업 역량 강화에 사용된다.핀테크 사업에서는 현재 토스와 카카오뱅크 등 금융회사에 안면인식 기반 인증 사업을 진행하고 있으며 미국 자회사 Alchera X는 산불 감지 사업으로 미국 에너지 회사 PG&E 호주 JCI 등의 거대 회사‧정부에,https://www.epnc.co.kr/news/articleView.html?idxno=227426,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227426_228414_2621_v150.jpg,TechWorld
"2022.09.02 14:09","알지티, 캐나다에 서빙 로봇 ‘써봇’ 추가 공급",알지티(RGT)가 캐나다 외식업장에 자사 서빙로봇인 ‘써봇’을 추가 공급한다고 2일 밝혔다.캐나다는 청년 인력의 감소 등으로 노동력 부족에 시달리고 있는 국가 중 하나로 특히 최근에는 코로나19 팬데믹으로 이민자가 줄어들면서 서비스업 관련 인력난이 더욱 심각해진 것으로 알려졌다. 이번에 알지티가 써봇을 추가 공급하는 현지 치킨 프랜차이즈 역시 지난 2월 종업원 충원에 어려움을 겪어 가맹점 3곳에 써봇을 도입했다.캐나다 내 3개 매장에 총 9대의 써봇을 도입해 시범 운영한 결과 써봇은 주방과 홀을 오가,https://www.epnc.co.kr/news/articleView.html?idxno=227429,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227429_228417_3658_v150.jpg,TechWorld
"2022.09.02 14:09","티베로, TAC 서비스 출시…무중단 DBMS 운영 가능",DBMS 전문 기업 티맥스티베로가 KT Cloud의 민간 클라우드 환경에서 액티브-액티브 이중화 구성인 TAC 서비스를 제공한다고 2일 밝혔다.TAC는 티베로 액티브 클러스터의 약자로 공유디스크 기반의 고가용성 데이터베이스 클러스터링 기능이다. 한 쪽 운영 시스템에 장애가 발생하면 반대 쪽 운영 시스템이 자동으로 전환돼 중단 없이 애플리케이션을 사용할 수 있다.티맥스티베로는 4월 AWS 마켓플레이스에 TAC 서비스를 포함한 ‘티베로’를 등록했다. 기술적 제약으로 인해 온프레미스 환경에서만 가능했던 이중화,https://www.epnc.co.kr/news/articleView.html?idxno=227413,이세정 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227413_228401_255_v150.jpg,TechWorld
"2022.09.02 14:09","안랩, 장노년층 대상 추석 3대 보안수칙 발표",안랩이 추석을 앞두고 ‘부모님께 알려드려야 할 추석 3대 보안수칙(이하 추석 보안수칙)’을 발표했다.안랩이 발표한 추석 보안수칙은 ▲문자 메시지·메신저로 전달받은 앱(.apk) 설치 금지 ▲문자로 자녀 등 가족의 긴급요청을 받아도 꼭 전화로 직접 확인하기 ▲인터넷 콘텐츠 다운로드는 정식경로 이용 등이다.공격자는 저금리 대출 정부 지원금에서부터 택배 미수령까지 명절을 앞두고 생활밀착형 주제의 문자 메시지에 전화번호 또는 메신저 아이디를 넣어 사용자의 연락을 유도한다. 문자 메시지 내 전화번호나 아이디로,https://www.epnc.co.kr/news/articleView.html?idxno=227417,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227417_228405_016_v150.jpg,TechWorld
"2022.09.02 14:09","인피니소프트, 글로벌 결제 데이터 보안 인증 PCI DSS 획득",인피니소프트 글로벌 결제 데이터 보안 인증인 ‘PCI DSS(Payment Card Industry Data Security Standard 지불카드보안표준) v3.2.1’을 획득했다고 2일 밝혔다.인피니소프트는 국내신용카드 해외신용카드 간편결제 오픈뱅킹 등 다양한 결제 수단을 통합 제공하는 온·오프라인 통합 결제대행 회사로 신용카드 간편 수기결제 ARS결제 SMS결제 등의 원격 결제 솔루션과 바코드결제 앱카드결제 NFC결제 등의 대면 결제 솔루션을 제공하고 있다.PCI DSS는 비자,https://www.epnc.co.kr/news/articleView.html?idxno=227422,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227422_228409_943_v150.jpg,TechWorld
