Date,Tag
2022-11-30,"해치랩스,"
2022-12-01,이스트소프트
2022-12-02,마이크로소프트
2022-12-05,라온
2022-12-06,제조
2022-12-07,"에퀴닉스,"
2022-12-08,서비스
2022-12-09,에
2022-12-13,슈나이더 일렉트릭
2022-12-14,과기
2022-12-15,구글
2022-12-16,뉴
2022-12-19,"콩가텍,"
2022-12-20,연구
2022-12-21,제네시스
2022-12-22,노
2022-12-23,"올림플래닛,"
2022-12-25,삼성전자
2022-12-27,국제
2022-12-28,"에코백스,"
2022-12-29,이스트소프트
2022-12-30,클라우드
2023-01-02,네이버
2023-01-03,컴
2023-01-04,구글
2023-01-05,뤼
2023-01-06,코드
2023-01-10,한컴
2023-01-11,티맥스
2023-01-12,클라우드
2023-01-13,코드
2023-01-16,구글
2023-01-17,한국
2023-01-18,알파고
2023-01-19,등급제
2023-01-20,스마트
2023-01-25,애플
2023-01-26,클라우드
2023-01-27,클라우드
2023-01-30,클라우드
2023-01-31,클라우드
2023-02-01,코드
2023-02-02,나사
2023-02-03,마이크로소프트
2023-02-06,카이스트
2023-02-07,스파르타
2023-02-08,클라우드
2023-02-09,‘AI챗봇’
2023-02-10,스타트
2023-02-13,인성
2023-02-14,베
2023-02-15,클라우드
2023-02-16,뤼
2023-02-17,하이브리드
2023-02-20,지란지교소프트
2023-02-21,로봇
2023-02-22,한컴
2023-02-23,서빙
2023-02-24,침체
2023-02-27,것
2023-02-28,발달
2023-03-01,챗GPT
2023-03-02,노키아
2023-03-03,수산
2023-03-06,디지털
2023-03-07,"SKT-뉴빌리티-SK쉴더스,"
2023-03-08,모델
2023-03-09,마이크로
2023-03-10,"빠르다”…챗GPT,"
2023-03-12,삼성SDS
2023-03-13,업
2023-03-14,실외
2023-03-15,마이크로
2023-03-16,핀
2023-03-17,"챗GPT,"
2023-03-20,세계
2023-03-21,"콩가텍,"
2023-03-22,뤼
2023-03-23,챗GPT
2023-03-24,오픈
2023-03-27,아이
2023-03-28,테스
2023-03-29,바스
2023-03-30,C&C
2023-03-31,티
2023-04-03,클라우드
2023-04-04,에이서
2023-04-05,코리아
2023-04-06,한국
2023-04-07,"로보티즈,"
2023-04-10,"챗GPT,"
2023-04-11,C&C
2023-04-12,LG유플러스
2023-04-13,스파르타
2023-04-14,알파
2023-04-17,블루
2023-04-18,나무
2023-04-19,엔비디아
2023-04-20,서울대병원
2023-04-21,에이서
2023-04-24,산업
2023-04-25,초중고
2023-04-26,쿠
2023-04-27,스마트
2023-04-28,업
2023-05-02,차세대
2023-05-03,C&C
2023-05-04,일자리
2023-05-08,이프
2023-05-09,마이크로
2023-05-10,웹
2023-05-11,티맥스
2023-05-12,"엘리먼트14,"
2023-05-15,로지텍
2023-05-16,삼성전자
2023-05-18,인공지능
2023-05-19,뤼
2023-05-22,에이수스
2023-05-23,이스트소프트
2023-05-24,클라우드
2023-05-25,이노
2023-05-26,컴
2023-05-30,빅
2023-05-31,에이서
